date,open,high,low,close,volume,change_ratio
20151026,42450,42800,42350,42700,25279,-0.11695906432748539
20151027,42700,42700,42100,42300,24438,-0.936768149882904
20151028,42300,42550,42050,42300,23156,0.0
20151029,42250,42500,42000,42150,29142,-0.3546099290780142
20151030,42200,42200,41150,41550,34940,-1.4234875444839856
20151102,41300,41900,41200,41750,21528,0.48134777376654636
20151103,41850,42000,41650,41800,15914,0.11976047904191617
20151104,41650,42000,41450,42000,20842,0.4784688995215311
20151105,42400,42400,41850,42250,22178,0.5952380952380952
20151106,42250,42450,41700,42000,26484,-0.591715976331361
20151109,41750,41900,40550,40800,57084,-2.857142857142857
20151110,40200,40600,38650,39850,42621,-2.3284313725490198
20151111,39300,40100,39300,40000,12946,0.37641154328732745
20151112,39550,40350,39550,40350,15685,0.8750000000000001
20151113,40000,40600,39850,40600,26639,0.6195786864931847
20151116,40400,40700,40000,40000,25486,-1.477832512315271
20151117,39900,40950,39900,40800,31086,2.0
20151118,41000,42700,41000,42250,69375,3.553921568627451
20151119,42250,42850,41750,42250,28899,0.0
20151120,42550,42700,42250,42700,20427,1.0650887573964496
20151123,42850,42900,42100,42450,36430,-0.5854800936768151
20151124,42150,42900,42150,42750,23979,0.7067137809187279
20151125,42850,42950,41750,42700,22898,-0.11695906432748539
20151126,42900,43800,42650,43100,44742,0.936768149882904
20151127,43250,43950,43250,43500,47578,0.9280742459396751
20151130,44050,50000,43800,45700,423778,5.057471264367816
20151201,46200,46500,44300,45050,95562,-1.4223194748358863
20151202,45050,46950,45050,46500,143596,3.218645948945616
20151203,46800,47250,45500,46800,85673,0.6451612903225806
20151204,46500,47600,45600,46050,97254,-1.6025641025641024
20151207,47750,49400,46550,46800,205622,1.6286644951140066
20151208,47150,47200,45750,45900,114816,-1.9230769230769231
20151209,45650,46500,45500,45800,52321,-0.2178649237472767
20151210,45700,46200,44500,46150,81036,0.7641921397379913
20151211,46150,48200,45900,48150,108558,4.333694474539545
20151214,52600,57000,51200,54400,1699723,12.980269989615783
20151215,52100,53600,48850,48850,634937,-10.20220588235294
